local_govt_area,city_or_state,number_households,net_worth_per_hh,income_per_taxpayer,assets_per_hh,liabilities_per_household,debt_to_asset_ratio,net_owner_occ_housing
Manjimup (S),WA Bal.,3884,436.1,37050,479.6,43.5,0.091,70.7
Shellharbour (C),NSW Bal.,21662,434.4,44612,507.3,72.9,0.144,247.1
Hindmarsh (S),VIC Bal.,2714,433.1,41061,451.5,18.5,0.041,70.2
Harden (A),NSW Bal.,1553,432.3,38297,463.0,30.7,0.066,86.3
Hepburn (S),VIC Bal.,5970,432.3,36948,472.6,40.3,0.085,154.1
Crow's Nest (S),QLD Bal.,4007,431.3,40615,506.0,74.7,0.148,164.8
Cardinia (S),Melbourne,19021,431.0,42859,512.7,81.7,0.159,169.1
Mount Alexander (S),VIC Bal.,7187,430.3,38520,470.5,40.2,0.085,153.9
Franklin Harbor (DC),SA Bal.,567,430.1,37973,470.1,40.0,0.085,77.1
Barossa (DC),SA Bal.,8021,429.9,42257,488.6,58.6,0.12,170.5
Penrith (C),Sydney,59261,429.1,44349,537.4,108.4,0.202,192.5
Yallaroi (A),NSW Bal.,1317,428.7,37957,455.2,26.6,0.058,43.2
Serpentine-Jarrahdale (S),Perth,4058,428.4,45350,516.6,88.2,0.171,166.0
Baw Baw (S),VIC Bal.,14476,428.0,40209,474.7,46.6,0.098,135.1
Fremantle (C),Perth,11684,427.5,50954,494.1,66.6,0.135,188.1
Pyrenees (S),VIC Bal.,2785,426.0,36194,457.6,31.6,0.069,101.8
Gundagai (A),NSW Bal.,1516,425.3,37861,461.3,36.0,0.078,87.2
Temora (A),NSW Bal.,2482,424.2,36448,460.3,36.1,0.078,92.1
Murrumbidgee (A),NSW Bal.,1018,423.5,41976,462.2,38.7,0.084,59.7
Southern Mallee (DC),SA Bal.,896,423.3,37762,449.5,26.2,0.058,63.3
Darebin (C),Melbourne,51269,423.1,42477,485.2,62.2,0.128,196.9
Wentworth (A),NSW Bal.,2688,421.9,37060,461.1,39.2,0.085,81.9
Mudgee (A),NSW Bal.,7376,421.7,40734,472.7,51.1,0.108,151.4
Light (DC),SA Bal.,4262,421.2,40798,487.0,65.8,0.135,151.6
Moreland (C),Melbourne,54784,419.3,42619,480.8,61.5,0.128,200.1
Harvey (S),WA Bal.,6666,418.4,44128,489.2,70.9,0.145,125.7
Prospect (C),Adelaide,8427,415.9,48141,481.5,65.6,0.136,179.2
Greater Taree (C),NSW Bal.,18633,415.6,38404,459.8,44.3,0.096,189.9
Bombala (A),NSW Bal.,1147,414.7,39605,442.3,27.6,0.062,64.0
Ararat (RC),VIC Bal.,4576,414.5,38052,444.7,30.2,0.068,85.1
Norwood Payneham St Peters (C),Adelaide,16028,414.5,53293,471.9,57.4,0.122,171.4
Copmanhurst (A),NSW Bal.,1691,414.1,38499,462.0,47.8,0.103,157.3
Moorabool (S),VIC Bal.,9270,413.9,42577,482.1,68.2,0.141,157.5
Boddington (S),WA Bal.,546,413.3,50307,490.4,77.1,0.157,43.9
Coonamble (A),NSW Bal.,1771,413.2,38440,442.7,29.5,0.067,54.0
