state,stateid,q,k,l,lnq,lnk,lnl,year
Rhode Island,40.0,6107.91,333.809,50.475,8.7173395,5.810569,3.9214783,2014
Rhode Island,40.0,6057.393,300.495,50.052,8.709035,5.705431,3.9130626,2013
Rhode Island,40.0,5738.242,239.565,49.105,8.654908,5.4788246,3.893961,2012
South Carolina,41.0,42789.506,4418.607,330.124,10.664048,8.3935795,5.7994685,2014
South Carolina,41.0,39552.919,3854.469,320.75,10.585395,8.256989,5.770662,2013
South Carolina,41.0,39358.855,3073.052,312.082,10.580476,8.030426,5.743266,2012
South Dakota,42.0,7520.113,528.128,65.828,8.925337,6.2693386,4.187045,2014
South Dakota,42.0,6488.965,364.116,63.183,8.777859,5.8974724,4.146035,2013
South Dakota,42.0,6427.836,372.728,60.543,8.7683935,5.920849,4.103354,2012
Tennessee,43.0,62392.494,4298.486,432.118,11.041201,8.366018,6.068699,2014
Tennessee,43.0,61483.972,4645.322,428.1,11.026532,8.443616,6.0593567,2013
Tennessee,43.0,58938.953,4205.948,426.949,10.984258,8.344255,6.0566645,2012
Texas,44.0,217667.331,18924.585,1108.699,12.290723,9.848217,7.0109425,2014
Texas,44.0,237698.997,17064.09,1096.592,12.37876,9.744732,6.9999623,2013
Texas,44.0,224438.438,19927.758,1093.353,12.321357,9.899869,6.9970045,2012
Utah,45.0,21971.626,1853.027,146.145,9.997507,7.5245757,4.984599,2014
Utah,45.0,21760.292,1580.226,145.529,9.987843,7.365323,4.9803753,2013
Utah,45.0,22961.894,1858.376,141.666,10.041592,7.527458,4.953472,2012
Vermont,46.0,3874.114,300.663,39.203,8.262073,5.70599,3.6687534,2014
Vermont,46.0,3701.389,300.304,38.796,8.216463,5.7047954,3.658317,2013
Vermont,46.0,4762.097,341.618,39.561,8.468444,5.833693,3.6778438,2012
Virginia,47.0,57323.82,2399.519,329.93,10.956471,7.7830234,5.7988806,2014
Virginia,47.0,56933.018,2349.5,320.108,10.949631,7.7619576,5.7686586,2013
Virginia,47.0,55332.998,2440.902,321.647,10.921124,7.8001227,5.7734547,2012
Washington,48.0,68578.031,2530.723,340.955,11.135728,7.8362603,5.8317504,2014
Washington,48.0,62871.598,2706.323,328.63,11.04885,7.903346,5.7949324,2013
Washington,48.0,60093.036,2702.83,325.471,11.00365,7.902055,5.7852736,2012
West Virginia,49.0,11171.562,847.864,70.898,9.321127,6.74272,4.2612424,2014
West Virginia,49.0,11225.327,632.438,72.493,9.325928,6.449582,4.28349,2013
West Virginia,49.0,10526.549,658.548,72.001,9.261656,6.4900374,4.27668,2012
Wisconsin,50.0,83029.607,5033.959,628.104,11.326953,8.523962,6.4427056,2014
Wisconsin,50.0,83545.379,5716.565,626.837,11.333145,8.651123,6.4406867,2013
Wisconsin,50.0,83508.979,4577.923,625.67,11.332709,8.429001,6.438823,2012
Wyoming,51.0,2438.991,408.286,14.522,7.79934,6.011968,2.6756647,2014
Wyoming,51.0,2812.805,366.704,15.067,7.9419374,5.904555,2.712507,2013
Wyoming,51.0,3717.553,276.776,14.995,8.220821,5.6232085,2.7077167,2012
